,time,inidate,number,hDate,experiment,t2m,days,day_month,base_date,forecast_date,bias,adjusted_t2m
32952,13 days,2021-06-24,8,2013,1,16.349555840463324,13,06-24,2013-06-24,2013-07-07,-1.4458919071683844,17.79544774763171
32953,13 days,2021-06-24,8,2014,1,22.67512128440427,13,06-24,2014-06-24,2014-07-07,-1.4458919071683844,24.121013191572654
32954,13 days,2021-06-24,8,2015,1,32.26182620911482,13,06-24,2015-06-24,2015-07-07,-1.4458919071683844,33.7077181162832
32955,13 days,2021-06-24,8,2016,1,16.51257779581075,13,06-24,2016-06-24,2016-07-07,-1.4458919071683844,17.958469702979134
32956,13 days,2021-06-24,8,2017,1,25.16884604771241,13,06-24,2017-06-24,2017-07-07,-1.4458919071683844,26.614737954880795
32957,13 days,2021-06-24,8,2018,1,26.619895253987373,13,06-24,2018-06-24,2018-07-07,-1.4458919071683844,28.065787161155757
32958,13 days,2021-06-24,8,2019,1,22.03292624323728,13,06-24,2019-06-24,2019-07-07,-1.4458919071683844,23.478818150405665
32959,13 days,2021-06-24,8,2020,1,13.566341904644494,13,06-24,2020-06-24,2020-07-07,-1.4458919071683844,15.012233811812878
32960,13 days,2021-06-24,9,2001,1,27.823316551449473,13,06-24,2001-06-24,2001-07-07,-1.4458919071683844,29.269208458617857
32961,13 days,2021-06-24,9,2002,1,23.283073616876003,13,06-24,2002-06-24,2002-07-07,-1.4458919071683844,24.728965524044387
32962,13 days,2021-06-24,9,2003,1,20.986104154831587,13,06-24,2003-06-24,2003-07-07,-1.4458919071683844,22.43199606199997
32963,13 days,2021-06-24,9,2004,1,16.401725731340132,13,06-24,2004-06-24,2004-07-07,-1.4458919071683844,17.847617638508517
32964,13 days,2021-06-24,9,2005,1,18.78042603272652,13,06-24,2005-06-24,2005-07-07,-1.4458919071683844,20.226317939894905
32965,13 days,2021-06-24,9,2006,1,18.83717024012224,13,06-24,2006-06-24,2006-07-07,-1.4458919071683844,20.283062147290625
32966,13 days,2021-06-24,9,2007,1,24.91917869808534,13,06-24,2007-06-24,2007-07-07,-1.4458919071683844,26.365070605253724
32967,13 days,2021-06-24,9,2008,1,23.960683299069547,13,06-24,2008-06-24,2008-07-07,-1.4458919071683844,25.40657520623793
32968,13 days,2021-06-24,9,2009,1,17.88216278232335,13,06-24,2009-06-24,2009-07-07,-1.4458919071683844,19.328054689491733
32969,13 days,2021-06-24,9,2010,1,14.543878716920808,13,06-24,2010-06-24,2010-07-07,-1.4458919071683844,15.989770624089193
32970,13 days,2021-06-24,9,2011,1,17.69136264823713,13,06-24,2011-06-24,2011-07-07,-1.4458919071683844,19.137254555405516
32971,13 days,2021-06-24,9,2012,1,26.28014829071935,13,06-24,2012-06-24,2012-07-07,-1.4458919071683844,27.726040197887734
32972,13 days,2021-06-24,9,2013,1,21.825384787189293,13,06-24,2013-06-24,2013-07-07,-1.4458919071683844,23.271276694357677
32973,13 days,2021-06-24,9,2014,1,20.398215940575028,13,06-24,2014-06-24,2014-07-07,-1.4458919071683844,21.844107847743413
32974,13 days,2021-06-24,9,2015,1,28.223832881886057,13,06-24,2015-06-24,2015-07-07,-1.4458919071683844,29.66972478905444
32975,13 days,2021-06-24,9,2016,1,15.677949078207812,13,06-24,2016-06-24,2016-07-07,-1.4458919071683844,17.123840985376198
32976,13 days,2021-06-24,9,2017,1,25.43524875020618,13,06-24,2017-06-24,2017-07-07,-1.4458919071683844,26.881140657374566
32977,13 days,2021-06-24,9,2018,1,22.290367344338634,13,06-24,2018-06-24,2018-07-07,-1.4458919071683844,23.73625925150702
32978,13 days,2021-06-24,9,2019,1,22.033298316829725,13,06-24,2019-06-24,2019-07-07,-1.4458919071683844,23.47919022399811
32979,13 days,2021-06-24,9,2020,1,19.200739861798656,13,06-24,2020-06-24,2020-07-07,-1.4458919071683844,20.64663176896704
32980,13 days,2021-06-24,10,2001,1,25.55675564936961,13,06-24,2001-06-24,2001-07-07,-1.4458919071683844,27.002647556537994
